t	u_avg	u_sdev	d-g0n0	g0n0	d-g0n1	g0n1	d-g0n5	g0n5	d-g0n6	g0n6	d-g0n7	g0n7	d-g0n10	g0n10	d-g0n11	g0n11	d-g0n12	g0n12	d-g0n13	g0n13	d-g0n15	g0n15	d-g0n16	g0n16	d-g0n17	g0n17	d-g0n18	g0n18	d-g0n19	g0n19	d-g1n0	g1n0	d-g1n2	g1n2	d-g1n4	g1n4	d-g1n6	g1n6	d-g1n7	g1n7	d-g1n11	g1n11	d-g1n15	g1n15	d-g1n17	g1n17	d-g1n18	g1n18	d-g2n0	g2n0	d-g2n3	g2n3	d-g2n5	g2n5	d-g2n12	g2n12	d-g2n13	g2n13	d-g2n14	g2n14	d-g2n18	g2n18	d-g3n2	g3n2	d-g3n4	g3n4	d-g3n7	g3n7	d-g3n8	g3n8	d-g3n9	g3n9	d-g3n11	g3n11	d-g3n17	g3n17	d-g3n19	g3n19	d-g4n1	g4n1	d-g4n3	g4n3	d-g4n4	g4n4	d-g4n9	g4n9	d-g4n10	g4n10	d-g4n12	g4n12	d-g4n13	g4n13	d-g4n14	g4n14	d-g4n16	g4n16	d-g4n18	g4n18	d-g5n0	g5n0	d-g5n3	g5n3	d-g5n6	g5n6	d-g5n7	g5n7	d-g5n8	g5n8	d-g5n9	g5n9	d-g5n10	g5n10	d-g5n14	g5n14	d-g6n2	g6n2	d-g6n3	g6n3	d-g6n4	g6n4	d-g6n5	g6n5	d-g6n6	g6n6	d-g6n8	g6n8	d-g6n9	g6n9	d-g6n12	g6n12	d-g6n13	g6n13	d-g6n14	g6n14	d-g6n17	g6n17	d-g6n19	g6n19	d-g7n1	g7n1	d-g7n2	g7n2	d-g7n3	g7n3	d-g7n5	g7n5	d-g7n6	g7n6	d-g7n7	g7n7	d-g7n8	g7n8	d-g7n10	g7n10	d-g7n14	g7n14	d-g7n15	g7n15	d-g7n16	g7n16	d-g7n19	g7n19	d-g8n1	g8n1	d-g8n4	g8n4	d-g8n5	g8n5	d-g8n8	g8n8	d-g8n10	g8n10	d-g8n11	g8n11	d-g8n15	g8n15	d-g8n16	g8n16	d-g8n17	g8n17	d-g8n18	g8n18	d-g9n0	g9n0	d-g9n1	g9n1	d-g9n2	g9n2	d-g9n9	g9n9	d-g9n11	g9n11	d-g9n12	g9n12	d-g9n13	g9n13	d-g9n15	g9n15	d-g9n16	g9n16	d-g9n19	g9n19	
893	1.00	0.00	3	3	5	5	8	8	6	6	1	1	7	7	8	8	4	4	4	4	5	5	8	8	2	2	5	5	8	8	7	7	3	3	8	8	6	6	6	6	5	5	6	6	6	6	8	8	5	5	4	4	4	4	2	2	0	0	5	5	0	0	5	5	5	5	5	5	1	1	3	3	0	0	7	7	1	1	1	1	7	7	8	8	3	3	8	8	4	4	1	1	5	5	4	4	6	6	7	7	7	7	0	0	1	1	4	4	3	3	0	0	4	4	4	4	1	1	5	5	4	4	6	6	1	1	1	1	8	8	0	0	8	8	3	3	6	6	1	1	4	4	1	1	1	1	3	3	3	3	3	3	6	6	6	6	5	5	8	8	8	8	2	2	4	4	3	3	6	6	4	4	6	6	1	1	4	4	4	4	6	6	5	5	1	1	1	1	7	7	3	3	5	5	6	6	6	6	5	5	1	1	
894	1.00	0.00	8	8	1	1	5	5	7	7	1	1	2	2	8	8	5	5	1	1	3	3	6	6	7	7	3	3	6	6	6	6	2	2	1	1	7	7	0	0	4	4	1	1	2	2	6	6	5	5	2	2	8	8	7	7	1	1	6	6	6	6	7	7	5	5	0	0	1	1	2	2	3	3	1	1	2	2	0	0	6	6	5	5	7	7	4	4	6	6	0	0	1	1	6	6	5	5	8	8	0	0	1	1	4	4	5	5	2	2	3	3	6	6	4	4	4	4	2	2	2	2	4	4	6	6	8	8	7	7	4	4	3	3	7	7	7	7	8	8	4	4	3	3	4	4	5	5	7	7	2	2	5	5	5	5	3	3	2	2	2	2	0	0	1	1	0	0	7	7	3	3	8	8	2	2	6	6	2	2	6	6	5	5	5	5	2	2	6	6	7	7	2	2	1	1	0	0	6	6	1	1	
895	1.00	0.00	0	0	2	2	4	4	3	3	4	4	1	1	7	7	6	6	2	2	2	2	2	2	3	3	0	0	1	1	1	1	7	7	5	5	1	1	7	7	6	6	1	1	5	5	4	4	5	5	5	5	5	5	1	1	4	4	2	2	3	3	1	1	2	2	8	8	3	3	7	7	6	6	8	8	4	4	0	0	6	6	7	7	5	5	4	4	3	3	3	3	2	2	6	6	4	4	4	4	0	0	5	5	8	8	6	6	4	4	6	6	1	1	1	1	0	0	6	6	3	3	6	6	8	8	6	6	0	0	6	6	3	3	6	6	4	4	1	1	1	1	0	0	1	1	2	2	6	6	1	1	8	8	8	8	3	3	5	5	2	2	3	3	4	4	7	7	7	7	6	6	7	7	1	1	8	8	7	7	2	2	3	3	2	2	4	4	7	7	1	1	6	6	5	5	4	4	1	1	6	6	
896	1.00	0.00	6	6	6	6	2	2	1	1	7	7	4	4	4	4	3	3	5	5	8	8	4	4	7	7	5	5	3	3	6	6	8	8	6	6	8	8	1	1	4	4	4	4	6	6	3	3	5	5	1	1	5	5	8	8	1	1	6	6	6	6	8	8	5	5	1	1	7	7	5	5	2	2	7	7	1	1	5	5	1	1	0	0	7	7	8	8	3	3	0	0	7	7	8	8	5	5	8	8	7	7	5	5	8	8	5	5	3	3	5	5	7	7	0	0	1	1	3	3	4	4	6	6	6	6	2	2	6	6	3	3	8	8	6	6	1	1	1	1	2	2	3	3	5	5	4	4	7	7	8	8	4	4	4	4	3	3	8	8	0	0	2	2	8	8	4	4	8	8	8	8	8	8	4	4	8	8	2	2	6	6	8	8	0	0	2	2	5	5	3	3	5	5	3	3	2	2	7	7	2	2	
897	1.00	0.00	8	8	2	2	5	5	7	7	1	1	4	4	7	7	6	6	4	4	0	0	7	7	0	0	5	5	3	3	3	3	8	8	8	8	1	1	5	5	4	4	6	6	7	7	8	8	4	4	8	8	6	6	7	7	6	6	2	2	7	7	5	5	6	6	3	3	3	3	5	5	3	3	1	1	1	1	3	3	4	4	6	6	5	5	4	4	1	1	3	3	1	1	6	6	3	3	2	2	3	3	8	8	0	0	8	8	4	4	5	5	1	1	6	6	6	6	5	5	8	8	1	1	2	2	8	8	0	0	0	0	1	1	1	1	1	1	8	8	4	4	8	8	3	3	7	7	7	7	2	2	0	0	5	5	8	8	5	5	1	1	0	0	7	7	4	4	1	1	7	7	0	0	3	3	0	0	6	6	2	2	4	4	3	3	4	4	5	5	0	0	0	0	7	7	5	5	2	2	2	2	
898	1.00	0.00	5	5	3	3	6	6	4	4	7	7	8	8	4	4	3	3	0	0	0	0	7	7	0	0	5	5	3	3	1	1	2	2	2	2	8	8	1	1	1	1	0	0	8	8	4	4	7	7	5	5	7	7	2	2	4	4	5	5	8	8	1	1	5	5	5	5	2	2	4	4	7	7	2	2	3	3	0	0	3	3	2	2	7	7	8	8	8	8	4	4	2	2	3	3	5	5	5	5	3	3	6	6	7	7	7	7	0	0	6	6	6	6	7	7	2	2	5	5	2	2	5	5	4	4	0	0	0	0	6	6	0	0	7	7	8	8	5	5	2	2	5	5	6	6	0	0	0	0	6	6	4	4	0	0	3	3	2	2	7	7	8	8	7	7	2	2	2	2	6	6	3	3	8	8	6	6	4	4	4	4	8	8	8	8	0	0	2	2	0	0	6	6	3	3	4	4	1	1	3	3	
899	1.00	0.00	7	7	8	8	2	2	1	1	2	2	7	7	8	8	1	1	0	0	2	2	0	0	6	6	8	8	7	7	0	0	1	1	6	6	0	0	6	6	8	8	7	7	6	6	7	7	1	1	4	4	3	3	3	3	4	4	4	4	3	3	2	2	0	0	4	4	0	0	8	8	2	2	0	0	2	2	0	0	8	8	2	2	6	6	4	4	2	2	1	1	7	7	1	1	6	6	0	0	0	0	3	3	0	0	3	3	5	5	0	0	7	7	1	1	1	1	1	1	5	5	4	4	2	2	7	7	6	6	8	8	1	1	2	2	3	3	6	6	0	0	0	0	0	0	7	7	0	0	6	6	3	3	1	1	4	4	1	1	5	5	2	2	3	3	6	6	6	6	8	8	2	2	3	3	4	4	3	3	2	2	0	0	5	5	8	8	7	7	1	1	5	5	6	6	2	2	4	4	2	2	
900	1.00	0.00	1	1	2	2	0	0	8	8	0	0	8	8	7	7	5	5	3	3	5	5	0	0	2	2	2	2	6	6	1	1	5	5	6	6	3	3	0	0	4	4	3	3	0	0	0	0	6	6	4	4	4	4	8	8	8	8	6	6	3	3	7	7	4	4	1	1	1	1	4	4	8	8	1	1	3	3	5	5	7	7	5	5	1	1	7	7	3	3	2	2	8	8	6	6	8	8	6	6	5	5	5	5	3	3	4	4	1	1	6	6	8	8	7	7	3	3	5	5	3	3	7	7	5	5	2	2	3	3	4	4	2	2	1	1	0	0	5	5	6	6	6	6	3	3	2	2	4	4	8	8	2	2	1	1	3	3	4	4	2	2	6	6	7	7	8	8	4	4	7	7	2	2	1	1	7	7	8	8	0	0	1	1	7	7	0	0	0	0	6	6	3	3	4	4	4	4	4	4	1	1	
901	1.00	0.00	2	2	6	6	7	7	5	5	7	7	1	1	6	6	1	1	1	1	8	8	0	0	2	2	4	4	4	4	6	6	7	7	2	2	7	7	0	0	3	3	3	3	8	8	0	0	0	0	8	8	7	7	5	5	6	6	8	8	1	1	7	7	3	3	0	0	0	0	7	7	0	0	7	7	7	7	0	0	2	2	4	4	3	3	0	0	4	4	5	5	8	8	5	5	2	2	6	6	0	0	4	4	1	1	1	1	8	8	2	2	3	3	0	0	5	5	4	4	4	4	1	1	5	5	6	6	8	8	2	2	1	1	8	8	7	7	3	3	3	3	7	7	1	1	6	6	2	2	4	4	2	2	2	2	8	8	1	1	1	1	2	2	8	8	3	3	3	3	5	5	2	2	1	1	3	3	7	7	6	6	0	0	4	4	0	0	4	4	6	6	6	6	7	7	4	4	0	0	6	6	
902	1.00	0.00	5	5	0	0	6	6	6	6	5	5	3	3	3	3	6	6	1	1	6	6	0	0	7	7	2	2	3	3	0	0	3	3	1	1	7	7	8	8	4	4	6	6	7	7	7	7	3	3	7	7	0	0	5	5	3	3	5	5	3	3	7	7	2	2	2	2	5	5	2	2	8	8	4	4	2	2	1	1	4	4	2	2	1	1	1	1	1	1	4	4	6	6	6	6	2	2	7	7	4	4	0	0	7	7	5	5	0	0	7	7	3	3	4	4	0	0	0	0	3	3	5	5	7	7	1	1	5	5	3	3	5	5	5	5	7	7	4	4	5	5	4	4	3	3	6	6	5	5	6	6	4	4	4	4	1	1	6	6	8	8	3	3	1	1	0	0	5	5	8	8	5	5	1	1	2	2	8	8	2	2	7	7	4	4	3	3	0	0	3	3	0	0	1	1	8	8	7	7	3	3	
903	1.00	0.00	3	3	8	8	6	6	1	1	1	1	8	8	6	6	6	6	3	3	5	5	7	7	2	2	1	1	5	5	6	6	2	2	1	1	4	4	6	6	1	1	2	2	0	0	2	2	0	0	1	1	3	3	8	8	2	2	1	1	4	4	7	7	8	8	7	7	3	3	6	6	7	7	6	6	1	1	5	5	2	2	0	0	0	0	5	5	6	6	0	0	5	5	2	2	7	7	7	7	5	5	2	2	0	0	2	2	7	7	0	0	0	0	3	3	0	0	0	0	0	0	3	3	3	3	5	5	0	0	8	8	0	0	1	1	4	4	1	1	5	5	7	7	5	5	7	7	1	1	2	2	8	8	8	8	4	4	6	6	3	3	3	3	5	5	8	8	8	8	0	0	1	1	6	6	6	6	4	4	1	1	1	1	4	4	1	1	0	0	3	3	0	0	8	8	4	4	7	7	3	3	
904	1.00	0.00	6	6	7	7	3	3	6	6	0	0	4	4	0	0	1	1	7	7	1	1	0	0	5	5	1	1	0	0	7	7	5	5	1	1	2	2	7	7	3	3	5	5	5	5	3	3	3	3	7	7	8	8	1	1	1	1	0	0	0	0	2	2	5	5	6	6	1	1	2	2	1	1	0	0	8	8	6	6	3	3	0	0	2	2	1	1	6	6	2	2	3	3	7	7	6	6	0	0	1	1	8	8	4	4	6	6	2	2	4	4	4	4	3	3	1	1	0	0	3	3	7	7	1	1	2	2	6	6	8	8	8	8	5	5	6	6	0	0	3	3	8	8	6	6	7	7	4	4	0	0	8	8	2	2	3	3	5	5	7	7	0	0	8	8	8	8	5	5	0	0	4	4	4	4	3	3	5	5	1	1	6	6	4	4	2	2	6	6	7	7	5	5	4	4	1	1	5	5	3	3	
905	1.00	0.00	4	4	3	3	1	1	2	2	1	1	3	3	3	3	4	4	0	0	6	6	0	0	1	1	1	1	4	4	3	3	3	3	4	4	6	6	0	0	5	5	1	1	6	6	1	1	0	0	4	4	1	1	1	1	6	6	4	4	1	1	6	6	1	1	6	6	4	4	8	8	4	4	7	7	0	0	1	1	4	4	2	2	3	3	0	0	7	7	2	2	3	3	6	6	8	8	4	4	1	1	6	6	5	5	6	6	8	8	5	5	6	6	8	8	2	2	7	7	5	5	7	7	0	0	6	6	1	1	6	6	4	4	5	5	1	1	0	0	1	1	1	1	3	3	4	4	1	1	1	1	1	1	8	8	4	4	5	5	4	4	5	5	0	0	2	2	0	0	0	0	5	5	2	2	7	7	4	4	5	5	3	3	1	1	2	2	5	5	8	8	1	1	0	0	0	0	0	0	5	5	
906	1.00	0.00	7	7	2	2	6	6	5	5	7	7	5	5	5	5	5	5	5	5	7	7	0	0	5	5	6	6	1	1	4	4	7	7	6	6	3	3	2	2	6	6	1	1	4	4	2	2	1	1	3	3	4	4	6	6	6	6	6	6	4	4	2	2	7	7	6	6	4	4	8	8	6	6	0	0	7	7	4	4	5	5	1	1	5	5	8	8	7	7	4	4	7	7	2	2	8	8	3	3	5	5	6	6	3	3	4	4	2	2	8	8	6	6	7	7	3	3	0	0	5	5	8	8	2	2	7	7	0	0	6	6	1	1	6	6	8	8	0	0	5	5	2	2	0	0	8	8	4	4	8	8	2	2	2	2	0	0	5	5	4	4	5	5	1	1	5	5	6	6	8	8	0	0	0	0	0	0	3	3	5	5	5	5	2	2	8	8	2	2	4	4	5	5	6	6	8	8	0	0	0	0	
907	1.00	0.00	6	6	6	6	3	3	1	1	7	7	0	0	0	0	8	8	4	4	1	1	0	0	5	5	2	2	5	5	1	1	6	6	5	5	0	0	2	2	2	2	7	7	0	0	4	4	3	3	4	4	3	3	4	4	3	3	5	5	3	3	6	6	1	1	1	1	6	6	7	7	8	8	0	0	1	1	3	3	3	3	5	5	4	4	6	6	2	2	2	2	6	6	7	7	5	5	4	4	3	3	4	4	2	2	2	2	6	6	0	0	7	7	1	1	0	0	3	3	8	8	8	8	0	0	2	2	0	0	1	1	4	4	0	0	8	8	1	1	7	7	2	2	2	2	1	1	7	7	0	0	5	5	1	1	2	2	6	6	1	1	1	1	0	0	1	1	2	2	5	5	4	4	3	3	4	4	8	8	8	8	6	6	0	0	5	5	4	4	2	2	7	7	4	4	0	0	4	4	8	8	
908	1.00	0.00	2	2	7	7	0	0	5	5	7	7	6	6	8	8	8	8	8	8	7	7	8	8	8	8	7	7	8	8	1	1	2	2	8	8	4	4	6	6	1	1	0	0	6	6	7	7	7	7	7	7	6	6	8	8	1	1	2	2	8	8	4	4	6	6	7	7	7	7	7	7	0	0	5	5	6	6	4	4	6	6	2	2	2	2	2	2	2	2	5	5	3	3	7	7	6	6	1	1	7	7	2	2	1	1	7	7	4	4	6	6	8	8	0	0	8	8	2	2	1	1	6	6	8	8	6	6	8	8	0	0	6	6	8	8	4	4	3	3	2	2	3	3	8	8	8	8	6	6	5	5	4	4	5	5	0	0	8	8	8	8	6	6	7	7	4	4	7	7	2	2	6	6	8	8	8	8	2	2	4	4	1	1	0	0	7	7	6	6	1	1	5	5	1	1	3	3	2	2	2	2	
909	1.00	0.00	3	3	8	8	3	3	2	2	0	0	4	4	2	2	6	6	7	7	5	5	6	6	3	3	7	7	6	6	0	0	3	3	5	5	4	4	8	8	4	4	8	8	2	2	4	4	1	1	0	0	2	2	2	2	2	2	6	6	7	7	7	7	8	8	6	6	1	1	1	1	7	7	2	2	8	8	6	6	5	5	2	2	8	8	5	5	8	8	4	4	0	0	1	1	0	0	3	3	6	6	8	8	3	3	7	7	3	3	3	3	7	7	4	4	0	0	0	0	7	7	2	2	5	5	4	4	7	7	3	3	2	2	0	0	3	3	4	4	0	0	5	5	6	6	2	2	7	7	6	6	6	6	3	3	3	3	6	6	7	7	8	8	8	8	7	7	4	4	7	7	1	1	4	4	4	4	5	5	2	2	6	6	5	5	0	0	7	7	2	2	5	5	6	6	5	5	0	0	8	8	
910	1.00	0.00	8	8	7	7	8	8	8	8	2	2	0	0	4	4	7	7	7	7	1	1	4	4	4	4	8	8	3	3	3	3	3	3	1	1	5	5	3	3	8	8	6	6	3	3	7	7	2	2	2	2	8	8	7	7	7	7	1	1	7	7	8	8	6	6	7	7	4	4	2	2	3	3	0	0	0	0	3	3	6	6	1	1	7	7	3	3	2	2	8	8	1	1	4	4	7	7	8	8	7	7	7	7	6	6	4	4	1	1	6	6	0	0	1	1	8	8	0	0	6	6	5	5	2	2	0	0	0	0	6	6	2	2	1	1	3	3	5	5	8	8	2	2	0	0	4	4	6	6	5	5	4	4	3	3	8	8	6	6	5	5	8	8	8	8	3	3	1	1	1	1	6	6	2	2	5	5	8	8	8	8	7	7	0	0	6	6	5	5	3	3	8	8	8	8	2	2	1	1	7	7	
911	1.00	0.00	2	2	3	3	0	0	1	1	8	8	5	5	0	0	3	3	7	7	5	5	2	2	2	2	7	7	3	3	4	4	3	3	2	2	1	1	6	6	5	5	2	2	6	6	4	4	0	0	6	6	0	0	1	1	6	6	4	4	2	2	1	1	1	1	7	7	8	8	7	7	3	3	2	2	2	2	5	5	2	2	5	5	2	2	7	7	1	1	8	8	4	4	5	5	5	5	2	2	6	6	4	4	5	5	2	2	4	4	5	5	4	4	6	6	1	1	8	8	4	4	4	4	1	1	2	2	0	0	1	1	3	3	7	7	3	3	0	0	7	7	4	4	3	3	7	7	1	1	3	3	3	3	6	6	6	6	8	8	5	5	5	5	8	8	3	3	3	3	3	3	7	7	5	5	5	5	0	0	7	7	7	7	7	7	0	0	2	2	5	5	1	1	2	2	2	2	8	8	7	7	
912	1.00	0.00	1	1	5	5	7	7	2	2	8	8	8	8	7	7	0	0	7	7	7	7	8	8	7	7	3	3	6	6	0	0	1	1	0	0	6	6	4	4	0	0	5	5	1	1	1	1	0	0	1	1	8	8	0	0	5	5	7	7	1	1	7	7	7	7	3	3	5	5	6	6	5	5	3	3	7	7	0	0	2	2	0	0	6	6	7	7	7	7	5	5	1	1	6	6	7	7	5	5	3	3	1	1	0	0	6	6	1	1	4	4	3	3	6	6	6	6	8	8	6	6	2	2	2	2	7	7	2	2	7	7	8	8	8	8	5	5	4	4	4	4	2	2	0	0	2	2	1	1	4	4	2	2	0	0	0	0	7	7	3	3	6	6	8	8	1	1	1	1	2	2	8	8	1	1	4	4	3	3	7	7	7	7	6	6	2	2	1	1	6	6	4	4	6	6	5	5	1	1	0	0	
913	1.00	0.00	5	5	8	8	4	4	8	8	1	1	5	5	6	6	6	6	5	5	4	4	3	3	4	4	8	8	2	2	7	7	4	4	3	3	6	6	0	0	1	1	7	7	7	7	1	1	5	5	5	5	3	3	7	7	5	5	5	5	5	5	5	5	8	8	8	8	0	0	4	4	2	2	0	0	7	7	1	1	3	3	7	7	0	0	0	0	3	3	6	6	3	3	1	1	7	7	0	0	2	2	6	6	1	1	3	3	6	6	0	0	2	2	0	0	4	4	1	1	4	4	8	8	4	4	7	7	6	6	1	1	2	2	2	2	0	0	7	7	0	0	0	0	0	0	3	3	7	7	6	6	0	0	6	6	1	1	8	8	6	6	7	7	2	2	7	7	8	8	6	6	0	0	8	8	7	7	4	4	1	1	3	3	1	1	8	8	0	0	7	7	4	4	7	7	0	0	2	2	7	7	
914	1.00	0.00	3	3	8	8	8	8	5	5	0	0	1	1	8	8	5	5	2	2	4	4	5	5	5	5	1	1	2	2	5	5	5	5	1	1	6	6	8	8	8	8	7	7	6	6	6	6	8	8	2	2	5	5	0	0	6	6	2	2	6	6	7	7	1	1	0	0	5	5	1	1	2	2	7	7	8	8	5	5	3	3	4	4	4	4	4	4	2	2	7	7	3	3	2	2	7	7	1	1	1	1	6	6	3	3	2	2	3	3	0	0	3	3	1	1	6	6	4	4	7	7	3	3	2	2	4	4	0	0	4	4	8	8	0	0	2	2	0	0	5	5	6	6	4	4	5	5	7	7	6	6	6	6	5	5	6	6	6	6	1	1	3	3	7	7	8	8	8	8	5	5	6	6	4	4	1	1	4	4	6	6	3	3	7	7	1	1	0	0	1	1	7	7	3	3	8	8	8	8	6	6	
915	1.00	0.00	3	3	2	2	7	7	7	7	5	5	6	6	7	7	5	5	8	8	4	4	4	4	5	5	0	0	6	6	2	2	5	5	6	6	2	2	6	6	8	8	3	3	6	6	4	4	5	5	8	8	7	7	6	6	4	4	0	0	0	0	3	3	7	7	2	2	6	6	7	7	6	6	4	4	1	1	7	7	4	4	0	0	6	6	6	6	8	8	0	0	6	6	4	4	3	3	2	2	8	8	7	7	6	6	5	5	1	1	8	8	0	0	8	8	7	7	8	8	1	1	7	7	5	5	5	5	3	3	4	4	0	0	2	2	2	2	4	4	0	0	4	4	3	3	6	6	4	4	0	0	3	3	2	2	0	0	8	8	7	7	4	4	5	5	7	7	5	5	6	6	3	3	6	6	7	7	3	3	1	1	7	7	5	5	6	6	5	5	7	7	2	2	1	1	7	7	4	4	8	8	
916	1.00	0.00	8	8	4	4	3	3	2	2	1	1	7	7	2	2	0	0	2	2	4	4	2	2	5	5	6	6	6	6	2	2	7	7	4	4	5	5	1	1	4	4	3	3	7	7	1	1	4	4	8	8	0	0	8	8	5	5	8	8	0	0	5	5	4	4	5	5	2	2	5	5	7	7	7	7	5	5	0	0	8	8	0	0	5	5	6	6	0	0	4	4	5	5	6	6	5	5	0	0	4	4	8	8	2	2	3	3	4	4	4	4	7	7	1	1	4	4	2	2	5	5	2	2	3	3	8	8	4	4	2	2	4	4	0	0	8	8	7	7	4	4	3	3	7	7	4	4	0	0	3	3	6	6	5	5	2	2	5	5	1	1	7	7	1	1	2	2	0	0	3	3	7	7	0	0	1	1	0	0	4	4	3	3	0	0	3	3	7	7	6	6	4	4	8	8	4	4	3	3	8	8	
917	1.00	0.00	3	3	1	1	2	2	8	8	3	3	3	3	4	4	2	2	6	6	5	5	5	5	4	4	1	1	0	0	3	3	3	3	4	4	1	1	3	3	0	0	3	3	2	2	8	8	4	4	2	2	4	4	6	6	2	2	4	4	1	1	7	7	7	7	3	3	5	5	5	5	4	4	2	2	1	1	0	0	2	2	2	2	7	7	4	4	5	5	5	5	3	3	0	0	4	4	5	5	7	7	1	1	2	2	8	8	1	1	1	1	8	8	7	7	4	4	8	8	3	3	7	7	4	4	4	4	2	2	7	7	6	6	7	7	8	8	4	4	3	3	2	2	3	3	1	1	1	1	0	0	4	4	8	8	7	7	3	3	6	6	6	6	6	6	6	6	4	4	4	4	7	7	7	7	5	5	0	0	3	3	0	0	6	6	7	7	5	5	8	8	3	3	2	2	3	3	4	4	8	8	
918	1.00	0.00	4	4	6	6	8	8	6	6	5	5	2	2	7	7	6	6	3	3	1	1	1	1	3	3	8	8	6	6	1	1	6	6	4	4	7	7	2	2	0	0	7	7	0	0	6	6	8	8	0	0	4	4	1	1	7	7	2	2	0	0	8	8	0	0	5	5	0	0	0	0	3	3	8	8	2	2	5	5	8	8	5	5	7	7	0	0	3	3	5	5	8	8	4	4	5	5	8	8	6	6	5	5	3	3	3	3	8	8	8	8	5	5	5	5	3	3	8	8	7	7	8	8	0	0	0	0	1	1	6	6	5	5	4	4	1	1	5	5	7	7	6	6	2	2	3	3	7	7	1	1	8	8	4	4	1	1	3	3	7	7	5	5	3	3	4	4	4	4	3	3	0	0	4	4	1	1	2	2	8	8	5	5	6	6	4	4	4	4	7	7	7	7	5	5	2	2	2	2	6	6	
919	1.00	0.00	4	4	1	1	2	2	3	3	5	5	1	1	6	6	0	0	5	5	0	0	2	2	0	0	2	2	2	2	7	7	6	6	2	2	6	6	3	3	8	8	3	3	4	4	8	8	6	6	8	8	7	7	5	5	3	3	2	2	2	2	6	6	0	0	6	6	0	0	1	1	0	0	2	2	3	3	1	1	8	8	6	6	3	3	1	1	1	1	5	5	8	8	4	4	1	1	0	0	7	7	6	6	4	4	8	8	6	6	8	8	2	2	7	7	0	0	2	2	8	8	8	8	8	8	7	7	4	4	2	2	0	0	0	0	1	1	3	3	3	3	4	4	8	8	1	1	8	8	5	5	0	0	8	8	0	0	6	6	7	7	1	1	6	6	7	7	3	3	0	0	5	5	1	1	7	7	8	8	8	8	7	7	4	4	1	1	2	2	7	7	2	2	3	3	6	6	5	5	0	0	
920	1.00	0.00	6	6	8	8	4	4	7	7	0	0	6	6	3	3	0	0	5	5	6	6	1	1	6	6	2	2	0	0	4	4	2	2	5	5	2	2	8	8	8	8	4	4	4	4	4	4	3	3	2	2	2	2	5	5	1	1	8	8	8	8	3	3	3	3	5	5	7	7	3	3	7	7	3	3	0	0	8	8	1	1	8	8	1	1	0	0	7	7	7	7	0	0	4	4	6	6	7	7	6	6	2	2	3	3	6	6	1	1	1	1	3	3	3	3	8	8	6	6	1	1	5	5	0	0	8	8	1	1	8	8	3	3	5	5	7	7	0	0	8	8	1	1	8	8	5	5	0	0	4	4	4	4	7	7	6	6	6	6	2	2	7	7	7	7	5	5	2	2	5	5	3	3	0	0	3	3	3	3	2	2	0	0	5	5	5	5	3	3	3	3	2	2	3	3	5	5	2	2	7	7	
921	1.00	0.00	1	1	3	3	8	8	1	1	4	4	4	4	5	5	2	2	4	4	5	5	5	5	0	0	6	6	4	4	0	0	3	3	0	0	3	3	6	6	1	1	2	2	1	1	7	7	8	8	6	6	4	4	0	0	7	7	7	7	7	7	3	3	2	2	2	2	6	6	8	8	5	5	6	6	8	8	8	8	5	5	3	3	7	7	6	6	1	1	8	8	4	4	7	7	6	6	3	3	7	7	6	6	2	2	4	4	0	0	7	7	8	8	1	1	3	3	1	1	2	2	6	6	2	2	2	2	2	2	1	1	0	0	2	2	3	3	2	2	0	0	3	3	2	2	1	1	2	2	3	3	5	5	1	1	8	8	1	1	1	1	1	1	3	3	7	7	1	1	3	3	8	8	7	7	7	7	5	5	7	7	2	2	8	8	4	4	4	4	2	2	4	4	6	6	5	5	0	0	4	4	
922	1.00	0.00	2	2	3	3	3	3	2	2	6	6	7	7	4	4	7	7	3	3	4	4	2	2	5	5	6	6	1	1	1	1	4	4	1	1	4	4	8	8	6	6	0	0	5	5	8	8	8	8	6	6	6	6	6	6	1	1	7	7	0	0	3	3	6	6	8	8	8	8	8	8	3	3	6	6	8	8	3	3	2	2	1	1	3	3	4	4	1	1	7	7	1	1	2	2	4	4	8	8	8	8	0	0	4	4	6	6	2	2	1	1	4	4	5	5	4	4	2	2	1	1	0	0	8	8	0	0	5	5	4	4	0	0	8	8	7	7	1	1	1	1	6	6	2	2	2	2	4	4	2	2	0	0	6	6	8	8	5	5	6	6	6	6	0	0	3	3	4	4	7	7	5	5	4	4	2	2	3	3	0	0	6	6	3	3	3	3	3	3	3	3	0	0	4	4	2	2	0	0	2	2	
923	1.00	0.00	2	2	4	4	8	8	1	1	2	2	2	2	6	6	4	4	8	8	2	2	2	2	6	6	4	4	4	4	0	0	7	7	8	8	4	4	5	5	5	5	6	6	0	0	4	4	6	6	5	5	6	6	2	2	5	5	4	4	7	7	2	2	0	0	5	5	4	4	4	4	4	4	6	6	4	4	2	2	4	4	6	6	6	6	4	4	0	0	6	6	8	8	7	7	2	2	5	5	5	5	5	5	7	7	0	0	3	3	3	3	3	3	1	1	6	6	6	6	5	5	7	7	5	5	1	1	1	1	8	8	8	8	5	5	3	3	6	6	5	5	4	4	8	8	5	5	7	7	8	8	0	0	3	3	2	2	5	5	3	3	5	5	5	5	5	5	1	1	1	1	7	7	8	8	0	0	3	3	3	3	8	8	1	1	3	3	8	8	1	1	1	1	6	6	2	2	4	4	3	3	
